feature,preselection_importance
_exit,0.03678219551039543
_initterm,0.029867827382702078
RESOURCE_Size,0.02797669100983982
MajorImageVersion,0.02750292509653662
LOAD_CONFIG_Size,0.02431413357219689
SizeOfStackReserve,0.021110901538962005
.rsrc,0.02109291986836048
memset,0.020453498196801565
_xcptfilter,0.020224150215171086
exit,0.019186339598011817
BaseOfData,0.01910482475368579
MajorOperatingSystemVersion,0.018530455277441082
comctl32.dll,0.018368405670520224
CheckSum,0.017292041736254368
msvcrt.dll,0.016081302539609786
IMPORT_Size,0.01522999386950146
DEBUG_Size,0.014830287003722409
SizeOfStackCommit,0.013548605881059323
__set_app_type,0.013516195061258545
_cexit,0.012755269775435023
