feature,preselection_importance
_exit,0.03678219551039543
_initterm,0.029867827382702078
RESOURCE_Size,0.02797669100983982
MajorImageVersion,0.02750292509653662
LOAD_CONFIG_Size,0.02431413357219689
SizeOfStackReserve,0.021110901538962005
.rsrc,0.02109291986836048
memset,0.020453498196801565
_xcptfilter,0.020224150215171086
exit,0.019186339598011817
BaseOfData,0.01910482475368579
MajorOperatingSystemVersion,0.018530455277441082
comctl32.dll,0.018368405670520224
CheckSum,0.017292041736254368
msvcrt.dll,0.016081302539609786
IMPORT_Size,0.01522999386950146
DEBUG_Size,0.014830287003722409
SizeOfStackCommit,0.013548605881059323
__set_app_type,0.013516195061258545
_cexit,0.012755269775435023
__setusermatherr,0.012149412090572994
IAT_Size,0.012046217757812611
Overlay,0.012000403741327968
MinorOperatingSystemVersion,0.011698021102002087
Total,0.011078477775490305
_amsg_exit,0.010373615489124863
MajorSubsystemVersion,0.010351412119038918
SECURITY_Size,0.01003762612411015
getdc,0.009644548279223411
__wgetmainargs,0.009612556984363039
RESOURCE_VA,0.008854259231352982
Header,0.008015546147892079
.data,0.00789596833379761
.text,0.007833991002911097
DllCharacteristics,0.007820820908254844
SizeOfCode,0.006276696355641553
rtlcapturecontext,0.006189034173811991
showwindow,0.006011304915982217
beginpaint,0.005868904147869494
.rdata,0.005865253052571423
Characteristics,0.005859343810175991
__cxxframehandler3,0.005832372689056082
?terminate@@yaxxz,0.005805657013633954
MinorLinkerVersion,0.005536134592313292
settimer,0.00540753859405462
_vsnwprintf,0.005350350854951985
SizeOfOptionalHeader,0.005116016635023277
api-ms-win-core-errorhandling-l1-1-0.dll,0.005068617294591412
comdlg32.dll,0.004943805409508168
isvalidcodepage,0.004928657668813968
