feature,preselection_importance
_exit,0.03678219551039543
_initterm,0.029867827382702078
RESOURCE_Size,0.02797669100983982
MajorImageVersion,0.02750292509653662
LOAD_CONFIG_Size,0.02431413357219689
SizeOfStackReserve,0.021110901538962005
.rsrc,0.02109291986836048
memset,0.020453498196801565
_xcptfilter,0.020224150215171086
exit,0.019186339598011817
BaseOfData,0.01910482475368579
MajorOperatingSystemVersion,0.018530455277441082
comctl32.dll,0.018368405670520224
CheckSum,0.017292041736254368
msvcrt.dll,0.016081302539609786
IMPORT_Size,0.01522999386950146
DEBUG_Size,0.014830287003722409
SizeOfStackCommit,0.013548605881059323
__set_app_type,0.013516195061258545
_cexit,0.012755269775435023
__setusermatherr,0.012149412090572994
IAT_Size,0.012046217757812611
Overlay,0.012000403741327968
MinorOperatingSystemVersion,0.011698021102002087
Total,0.011078477775490305
_amsg_exit,0.010373615489124863
MajorSubsystemVersion,0.010351412119038918
SECURITY_Size,0.01003762612411015
getdc,0.009644548279223411
__wgetmainargs,0.009612556984363039
RESOURCE_VA,0.008854259231352982
Header,0.008015546147892079
.data,0.00789596833379761
.text,0.007833991002911097
DllCharacteristics,0.007820820908254844
SizeOfCode,0.006276696355641553
rtlcapturecontext,0.006189034173811991
showwindow,0.006011304915982217
beginpaint,0.005868904147869494
.rdata,0.005865253052571423
Characteristics,0.005859343810175991
__cxxframehandler3,0.005832372689056082
?terminate@@yaxxz,0.005805657013633954
MinorLinkerVersion,0.005536134592313292
settimer,0.00540753859405462
_vsnwprintf,0.005350350854951985
SizeOfOptionalHeader,0.005116016635023277
api-ms-win-core-errorhandling-l1-1-0.dll,0.005068617294591412
comdlg32.dll,0.004943805409508168
isvalidcodepage,0.004928657668813968
memcpy,0.004845526327552982
SizeOfImage,0.00482315824565018
EXCEPTION_VA,0.004651677957755571
api-ms-win-core-profile-l1-1-0.dll,0.004592878965778663
version.dll,0.004510759463007937
_except_handler4_common,0.004412897751608571
setcursor,0.004340393099128544
imagelist_destroy,0.004313293171238629
malloc,0.004230062265096295
getclientrect,0.004027724824186359
free,0.0038912299919632827
invalidaterect,0.0038480039205605427
enablemenuitem,0.003630524466588682
imagelist_create,0.003585293023272256
SizeOfUninitializedData,0.0035818903049062456
_c_exit,0.0034116882766301133
openclipboard,0.0034065160935003234
MajorLinkerVersion,0.003401879319637797
queryperformancecounter,0.003399697958863575
IMPORT_VA,0.003328093464293948
SizeOfInitializedData,0.0030926884796357063
e_lfanew,0.0030764945114934387
globalunlock,0.0029079814582298126
ImageBase,0.002907504456138677
upx1,0.002823254564371317
.pdata,0.0028071185160070504
code_to_image_ratio,0.0027645599193936708
IAT_VA,0.00276345288689975
EXCEPTION_Size,0.0027160427793983637
iswindowvisible,0.002630549516536922
MinorSubsystemVersion,0.0026301013220359393
deleteobject,0.0026060598728807082
getsyscolor,0.0025638160010827095
SECURITY_VA,0.002555588137259544
imagelist_addmasked,0.0025189390392019386
exitthread,0.002507650504596678
DEBUG_VA,0.0025028416169314564
_wcsicmp,0.002483259375805936
rtlvirtualunwind,0.0024309839346246588
AddressOfEntryPoint,0.0024192558448492
_commode,0.002343938840509096
setbkmode,0.0022983474154161646
emptyclipboard,0.0022971630884189693
rtllookupfunctionentry,0.002291434486065441
_fmode,0.0022345735843091476
BaseOfCode,0.0021933672103523257
_o_terminate,0.0021589397692319094
setforegroundwindow,0.0021405932246243804
setwindowpos,0.0021297257368496055
wcschr,0.0020464235126678807
_o__seh_filter_exe,0.002023506220467423
api-ms-win-core-libraryloader-l1-2-0.dll,0.0019749831730016304
api-ms-win-core-processthreads-l1-1-0.dll,0.0019637487327056388
setclipboarddata,0.0019270924677770624
enddeferwindowpos,0.0018950952499100244
SizeOfHeaders,0.001878071573420939
getwindowrect,0.0018316356346583837
iswindow,0.0018166098255870727
getdlgitem,0.001812743668450815
enablewindow,0.0017738134823036774
memmove,0.001738666016353095
cotaskmemfree,0.0017270292479287042
getdevicecaps,0.0016803342343972931
fillrect,0.0016710526724343843
screentoclient,0.001649923455246334
releasedc,0.0016460728759725657
ntdll.dll,0.0016038396443796236
num_file_apis,0.001578314871859654
getcpinfo,0.0015380287812244784
_o___p__commode,0.0015309423254298642
_o__set_app_type,0.0015067722430840938
BASERELOC_VA,0.0014888069740054894
closeclipboard,0.0014724441814661668
??3@yaxpeax@z,0.0014382946704646583
getexitcodeprocess,0.0014295614046272807
comparefiletime,0.0014275223444450078
tlssetvalue,0.0014249840196599072
shell32.dll,0.0014027768349847436
_o__register_onexit_function,0.0014007684025263989
getsystemmetrics,0.0013919871937336204
setstdhandle,0.0013744568467768106
tlsgetvalue,0.0013705832153033393
oleuninitialize,0.0013652968863573588
num_crypto_apis,0.001339535938892506
setwindowlonga,0.0013076028400539025
api-ms-win-core-sysinfo-l1-1-0.dll,0.001297914380158259
user32.dll,0.0012850589645586527
_o___stdio_common_vswprintf,0.0011941056745349249
_controlfp,0.0011507968819972187
initializecriticalsectionandspincount,0.0011474644792453335
setfiletime,0.0011230525121598742
globalalloc,0.0011060343351342353
waitformultipleobjects,0.0010927896533275063
loadlibrarya,0.0010866014667109834
createpopupmenu,0.001086460083058196
tlsalloc,0.0010859737352494677
api-ms-win-crt-string-l1-1-0.dll,0.0010823360325360667
setbkcolor,0.0010654001931180556
mpr.dll,0.0010376470467204366
BASERELOC_Size,0.0010174646397019828
getnativesysteminfo,0.0009973910744314122
_unlock,0.0009927496171590038
_o_malloc,0.0009261998868625898
seterrormode,0.000894352511145771
sendmessagea,0.0008930253968189191
getoemcp,0.0008865649508249407
httpsendrequesta,0.0008631196059724295
defwindowproca,0.0008624150841628382
virtualprotect,0.000859324951837146
cryptencrypt,0.0008512148433048074
endpaint,0.00084809674783288
has_file_access,0.0008404330779144142
gdi32.dll,0.0008256850949655719
__p__commode,0.0008200559370043036
lookupprivilegevaluea,0.0008107662864427107
killtimer,0.0008036350084808004
__c_specific_handler,0.0007937566472389123
gettickcount,0.0007609110924852466
getfullpathnamea,0.0007576902012694203
settextcolor,0.0007576345147635701
_initterm_e,0.0007570979420963925
